State,October2019,November2019,December2019,January2020,February2020,March2020,April2020,May2020,June2020,July2020,August2020,September2020,Mean
Alabama,3,3.1,3.2,3.3,3.4,3.6,13.7,10.4,8.7,7.7,6.6,6.1,6.066666666666666
Alaska,5.3,5.2,5.2,5.2,5.2,5.2,11.9,11.9,11.3,11.2,7.8,7.7,7.758333333333334
Arizona,4.8,4.9,4.9,5,5,5.1,13.9,11,9.5,8.6,7.6,7.2,7.291666666666667
Arkansas,3.5,3.5,3.5,3.5,3.6,4.9,10,8.7,7.6,7.1,6.2,5.8,5.658333333333333
California,4.1,4.1,4.1,4.1,4.1,5.5,15.9,16.1,14.1,13.4,11.9,10.3,8.975
Colorado,2.5,2.6,2.6,2.7,2.8,4.8,11.6,11.8,11,6.6,6.2,6.4,5.966666666666667
Connecticut,3.5,3.5,3.5,3.4,3.4,3.4,8,11.4,11.1,11.2,9.5,8.9,6.733333333333333
Delaware,3.8,3.7,3.7,3.7,3.7,5,13.1,13.3,12.7,7.7,7.5,7.6,7.125
District of Columbia,4.9,5,5.1,5.3,5.4,5.5,11.1,9,8.8,9,8.8,8.7,7.216666666666667
Florida,3,2.9,2.9,2.8,2.7,4.5,13.2,13.9,11.6,12.5,8.9,8.7,7.3
Georgia,3.5,3.4,3.5,3.5,3.6,3.7,12.3,9.6,8.4,7.7,6.9,6.4,6.041666666666667
Hawaii,1.9,1.9,2,2.1,2.2,2.2,22.4,20.9,17.7,16.2,13.9,14.2,9.799999999999999
Idaho,3,3,3,3,3,2.8,11.8,8.9,7.3,6.3,5.3,4.8,5.183333333333334
Illinois,3.7,3.6,3.6,3.7,3.8,4.9,17.4,14.5,12.7,11.5,9.8,9,8.183333333333334
Indiana,3.3,3.3,3.3,3.4,3.4,3.5,16.8,12.3,10.2,8.8,7.2,6.3,6.816666666666666
Iowa,2.7,2.7,2.6,2.6,2.6,2.6,10.5,8,6.5,5.8,5.1,4.8,4.708333333333333
Kansas,3.1,3.1,3.1,3.1,3.1,3.1,12.2,9,7.2,6.4,5.6,5.2,5.35
Kentucky,4,4,4,4,4.1,4.1,16.5,12.6,5.1,5.7,5.2,5.1,6.2
Louisiana,4.8,4.9,5.1,5.2,5.2,6.8,13.5,12.3,11,10.5,9.4,8.9,8.133333333333333
Maine,2.9,2.9,2.9,2.9,2.8,2.7,9.1,9.2,6.6,6.3,4.6,4.4,4.7749999999999995
Maryland,3.7,3.7,3.8,4,4.2,4.2,9.5,9.5,8.6,8.1,7.2,6.8,6.108333333333333
Massachusetts,3,3,3,3,2.9,2.9,17.1,15.5,14.4,12.7,10.6,9.9,8.166666666666666
Michigan,4,3.9,3.8,3.8,3.8,3.8,22.7,19.2,14.6,12.6,9.9,8.7,9.233333333333333
Minnesota,3.6,3.6,3.7,3.8,3.9,4,9,10.8,8.7,7.9,6.9,6.2,6.008333333333334
Mississippi,5.5,5.5,5.5,5.5,5.7,5.8,15.4,11,9.2,8.2,7.4,7.1,7.65
Missouri,3.2,3.3,3.3,3.3,3.3,3.5,11.2,9.2,7.7,7,6.4,6,5.616666666666666
Montana,3.6,3.7,3.7,3.7,3.7,3.6,12.2,9.1,7.4,6.5,5.4,5,5.633333333333334
Nebraska,3.2,3.1,3.1,3,3,4.3,8.2,6.3,5.1,4.4,3.7,3.3,4.225
Nevada,3.9,3.9,3.8,3.8,4,8,28.5,23.4,18.5,16.8,14.7,13.6,11.908333333333333
New Hampshire,2.7,2.7,2.7,2.7,2.7,2.6,16.2,11.8,9.7,8.3,6.8,6.1,6.25
New Jersey,3.5,3.6,3.6,3.5,3.5,3.3,15.5,15.8,14.5,14.3,12.8,8.3,8.516666666666667
New Mexico,4.8,4.9,5.1,5.2,5.4,6.1,9.5,9.8,9.5,9.6,9.3,8.8,7.333333333333334
New York,3.9,3.9,3.9,3.9,3.9,3.9,16.2,16.5,13.7,12.7,11,10.3,8.65
North Carolina,3.9,3.8,3.8,3.7,3.7,3.9,14.2,11.5,9.6,8.6,7.2,6.5,6.7
North Dakota,2.1,2,2,2.1,2.2,2.5,8.3,7,6.4,6.2,5.8,5.6,4.35
Ohio,4.3,4.3,4.4,4.5,4.6,4.8,16.4,12.7,11,9.9,8.4,7.6,7.741666666666666
Oklahoma,3.2,3.1,3.1,3.1,3.2,3.2,12.6,9.7,8,7.2,6.2,5.8,5.7
Oregon,3.5,3.4,3.4,3.4,3.4,3.5,13.3,12.2,10.5,9.5,8.1,7.5,6.808333333333334
Pennsylvania,4.6,4.6,4.7,4.8,5,5.2,16.5,13.1,11.5,10.6,9.5,8.9,8.25
Puerto Rico,8.4,8.7,9,9.1,9.1,NA,NA,8.9,8.2,8.2,8.3,8.6,NA
